DEPTH,BS,CALI,CHR1,CHR2,CHRP,CHRS,DRHO,DT1R,DT2,DT2R,DT4P,DT4S,GR,HD1,HD2,HD3,NPOR,PEF,RHOB,SPR1,TENS,VPVS
2882.3412,311.1,309.6482,0.9764,0.9534,0.9021,0.7494,-4.7795,498.5135,454.6822,479.977,273.8819,498.3775,78.5268,316.1779,308.7134,306.652,0.3686,3.411,2504.9438,44.28,6665.0,1.6601
2882.4936,311.1,310.766,0.9613,0.9509,0.8388,0.6373,-4.6254,478.9218,437.6566,459.7716,264.5416,479.884,85.1696,316.4857,308.8817,306.5719,0.343,3.798,2546.5093,48.8911,6728.0,1.6544
2882.646,311.1,311.2182,0.9677,0.9491,0.7297,0.4983,6.71,457.4609,423.0111,442.2489,252.1809,453.441,82.2041,316.3089,242.9996,305.2652,0.2628,5.0192,2633.0469,58.1416,6743.0,1.6774
2882.7984,311.1,310.5285,0.9618,0.9595,0.7903,0.6031,10.5144,452.2399,413.2998,432.096,238.385,417.929,71.8841,316.4011,311.14,305.1345,0.1929,5.7558,2673.9485,57.3954,6659.0,1.7337
2882.9508,311.1,310.2733,0.9674,0.9608,0.8313,0.6731,6.5102,447.8202,417.6472,436.6411,232.6222,411.36,61.2379,316.4011,311.3906,306.1611,0.199,5.1031,2623.6677,53.4201,6670.0,1.7954
2883.1032,311.1,309.9838,0.976,0.9701,0.8219,0.5795,2.3169,446.4156,423.0584,442.2984,235.0256,417.3882,57.7979,315.352,312.6609,306.652,0.219,4.2028,2570.1602,47.3576,6703.0,1.8001
2883.2556,311.1,309.816,0.9745,0.9682,0.7379,0.5387,0.3634,472.3953,435.3647,457.3638,244.0092,435.378,60.1703,317.5755,309.1367,307.1431,0.2295,3.7299,2524.4805,43.9899,6677.0,1.7842
2883.408,311.1,310.4537,0.9729,0.9646,0.8464,0.7124,-2.5959,481.2439,439.9848,462.2175,258.008,463.2041,65.0041,316.435,308.9915,305.6574,0.3036,3.8134,2498.8591,42.8937,6773.0,1.7053
2883.5604,311.1,310.4494,0.9733,0.9669,0.8853,0.7712,-5.8845,486.3741,451.3236,476.4315,264.0262,472.0147,66.5461,316.435,307.1033,305.3449,0.3143,4.0102,2485.647,40.3373,6744.0,1.7094
2883.7128,311.1,309.596,0.9793,0.9727,0.91,0.7911,-10.4458,490.4439,454.5075,479.7926,264.5226,478.4767,70.342,316.229,307.6564,304.6908,0.2672,4.1186,2481.3066,38.7691,6656.0,1.7182
2883.8652,311.1,310.281,0.9857,0.9801,0.9264,0.8054,-10.3596,498.5703,457.8414,483.3119,269.3044,486.428,72.0027,316.368,308.6663,304.6908,0.313,4.054,2493.915,37.7549,6732.0,1.7001
2884.0176,311.1,310.1129,0.9812,0.9765,0.9284,0.8183,-10.3574,498.7087,457.0809,482.5092,269.8836,487.0821,78.4082,316.2354,309.1682,305.2141,0.3356,4.0066,2491.3584,38.9277,6697.0,1.6936
2884.17,311.1,310.8156,0.9786,0.9728,0.9285,0.8211,-9.8758,496.4248,455.794,481.1506,271.3874,487.2287,82.9158,316.2813,308.9598,305.2652,0.3271,3.9402,2487.2744,39.306,6685.0,1.6795
2884.3224,311.1,309.6591,0.9803,0.9743,0.9376,0.8309,-8.0511,492.1844,454.954,480.2639,270.822,486.8313,81.9817,316.4074,308.709,305.396,0.3186,3.8209,2486.2976,39.4776,6734.0,1.6799
2884.4748,311.1,309.7753,0.9825,0.9751,0.9347,0.8392,-5.5124,490.7132,454.6228,479.9143,269.1102,484.8058,82.5747,318.2831,309.6564,305.2141,0.3479,3.7211,2491.5625,40.5265,6664.0,1.6894
2884.6272,311.1,310.8064,0.9819,0.9738,0.9295,0.8409,-5.3985,490.7316,454.2462,479.5167,269.7003,481.005,79.0161,316.4074,309.8806,306.5291,0.3414,3.7337,2491.5867,39.6964,6677.0,1.6843
2884.7796,311.1,310.1568,0.9796,0.9752,0.9462,0.8538,-5.2602,489.6914,454.0606,479.3208,269.8603,481.6681,81.0178,317.7551,309.7075,305.3007,0.3025,3.744,2488.0791,41.1358,6702.0,1.6826
