DEPT,SP,NEUT,GR,CALI,̂,LLD
2956.4,20.81874998,2.78120802,20.74397901,0.18886236,370.05997216,
2956.6,20.71952598,2.76454342,20.87724047,0.18665871,367.87280099,
2956.8,20.79805286,2.73388817,20.94159849,0.18480242,366.59352862,
2957.0,20.9756646,2.70311884,20.9389125,0.18362975,366.49086489,
2957.2,21.12244995,2.68774716,20.89786953,0.18314811,367.55852536,
2957.4,21.16588941,2.69649295,20.86215068,0.18311517,369.69654157,
2957.6,21.13388125,2.7255417,20.8700887,0.1832329,372.6699463,
2957.8,21.09798152,2.76063648,20.92276548,0.18325378,375.9236509,
2958.0,21.09663877,2.7881915,20.95742983,0.18313416,378.65479977,
2958.2,21.11601108,2.80455287,20.86098292,0.1830977,380.22794987,
2958.4,21.1266003,2.81462355,20.55388664,0.18360276,380.54785137,
2958.6,21.11973327,2.82330449,20.09392527,0.18503794,380.08886423,
2958.8,21.10966956,2.83173256,19.6705279,0.18736218,379.57921696,
2959.0,21.11226447,2.84186378,19.45639695,0.19000563,379.58691897,
2959.2,21.1256642,2.85968628,19.44066723,0.19221373,380.25020553,
2959.4,21.13099981,2.88903391,19.43284668,0.19354728,381.34360168,
2959.6,21.11387633,2.92095459,19.24865457,0.19410817,382.67025442,
2959.8,21.08946691,2.93499722,18.89762451,0.19428338,384.3796314,
2960.0,21.10651564,2.91521537,18.57697111,0.19428891,386.81383325,
2960.2,21.21222317,2.86532182,18.48707582,0.19400292,389.9406266,
2960.4,21.40474516,2.80789859,18.67370284,0.19325293,393.12739651,
2960.6,21.62561468,2.7689943,19.03791826,0.19219666,395.67419769,
2960.8,21.80546806,2.76389732,19.4571823,0.19134242,397.56960396,
2961.0,21.91407177,2.79385508,19.85230671,0.19111072,399.51632204,
2961.2,21.96064547,2.84771373,20.15948818,0.19139551,402.02037019,
2961.4,21.9538913,2.90425237,20.30265232,0.1916294,404.66452113,
2961.6,21.88564176,2.93903863,20.24450316,0.19132046,406.46826997,
2961.8,21.76356096,2.93754592,20.0419326,0.19049463,406.94290947,
2962.0,21.63485846,2.9048195,19.79399714,0.18957805,406.56792202,
2962.2,21.55214751,2.85943549,19.5250607,0.18889414,406.19002751,
2962.4,21.51594165,2.81605886,19.18254345,0.18835577,406.16814599,
2962.6,21.47355236,2.77629657,18.78686751,0.1876871,406.28355382,
2962.8,21.38375314,2.73707625,18.54006885,0.18683738,406.31632248,
2963.0,21.26600833,2.70351749,18.6885489,0.18608401,406.36527031,
2963.2,21.16588114,2.68801518,19.25427199,0.18572338,406.54323684,
2963.4,21.08625083,2.69672336,19.94672965,0.18575746,406.60768023,
2963.6,20.98233771,2.72061328,20.40291266,0.18593109,406.1400168,
2963.8,20.83452152,2.74341336,20.50758498,0.18602228,405.01191939,
2964.0,20.70517462,2.75587534,20.44592468,0.18601347,403.54122026,
2964.2,20.69174508,2.76056836,20.45807955,0.18597332,402.19628808,
2964.4,20.82280097,2.76533499,20.60944415,0.18591238,401.21527801,
2964.6,21.01228757,2.77370791,20.81365695,0.18582686,400.47167067,
2964.8,21.13408406,2.78322728,20.99817085,0.18588539,399.56902895,
2965.0,21.13891149,2.79064799,21.15673917,0.18644287,398.05652574,
2965.2,21.09417613,2.79548559,21.25237771,0.18774496,395.72293588,
2965.4,21.11046492,2.79728136,21.17568609,0.18954934,392.86661702,
2965.6,21.23151978,2.79018692,20.86795975,0.19108787,390.25215696,
2965.8,21.39755867,2.76516916,20.4515915,0.19153839,388.62248106,
2966.0,21.51239667,2.72126759,20.17059025,0.19063544,388.16765449,
2966.2,21.53832845,2.67423352,20.18522479,0.18884995,388.46261597,
2966.4,21.52098092,2.64776467,20.45000722,0.18697971,388.91224479,
2966.6,21.521665,2.65118045,20.78981133,0.18557195,389.12754613,
2966.8,21.53933857,2.66777423,21.06094859,0.1846959,388.97895262,
2967.0,21.51167612,2.66983029,21.22321164,0.18412653,388.53160123,
2967.2,21.3959569,2.64730723,21.29899977,0.18362271,388.15472617,
2967.4,21.23235375,2.61860732,21.30653628,0.183073,388.53579981,
2967.6,21.11579055,2.6115417,21.24372973,0.1823717,390.22374308,
