DEPT,PZ,GZ,CALI,SP
58.8,4.97568013,6.0249783,32.48972441,-0.68767765
59.0,5.03929813,6.12872972,32.56359377,-0.43276644
59.2,5.10237689,6.14297941,32.67358897,-0.07215942
59.4,5.16630888,6.14390731,32.7625606,0.70311806
59.6,5.2301619,6.1399031,32.82185348,1.23984108
59.8,5.2939145,6.02079138,32.88028952,2.3077644
60.0,5.35770018,5.81442715,32.95929486,3.48862258
60.2,5.42130487,5.63724816,33.12099691,4.08117216
60.4,5.48449157,5.64763691,33.24353213,4.1969398
60.6,5.54425772,5.65976357,33.42039747,4.19189699
60.8,5.55473806,5.67352559,33.80845013,4.19483038
61.0,5.56398148,5.68839285,34.92848,4.24774194
61.2,5.57291881,5.70318791,36.28318222,4.3461663
61.4,5.58163063,5.71773837,36.30476276,4.342304
61.6,5.5903673,5.73228888,36.28983048,4.340874
61.8,5.59916159,5.7468394,36.14567425,4.3395785
62.0,5.60795586,5.76138992,35.91223175,4.39725649
62.2,5.61675012,5.77594043,34.18836142,4.40934278
62.4,5.62554439,5.79049095,31.69469145,4.47245034
62.6,5.63433866,5.80504146,31.83394874,4.48650543
62.8,5.64313293,5.81959198,32.92784998,4.48954203
63.0,5.65192719,5.8341425,32.94193575,4.48966751
63.2,5.66072146,5.84869301,32.88009476,4.48915725
63.4,5.66951573,5.86324264,32.64080884,4.48905109
63.6,5.67831,5.87779699,32.14646925,4.48905109
63.8,5.68710427,5.89239389,31.93126698,4.48905109
64.0,5.69589853,5.90703083,31.95333081,4.48905109
64.2,5.7046928,5.92150067,32.01296655,4.48905109
