DEPT,ÃÇ,ÏÇ,SP,CALI
3020.6,4.13669417,15.80861913,28.40397327,24.1646922
3020.8,4.11461443,15.90947898,28.75121254,24.16118152
3021.0,4.05520859,15.97284214,29.09844599,24.16370143
3021.2,4.00320128,15.99426527,29.42506362,24.1778352
3021.4,4.00928807,15.95850019,29.68733788,24.20587716
3021.6,4.06594752,15.84260141,29.81250911,24.2484816
3021.8,4.09816696,15.64015479,29.75729667,24.30250745
3022.0,4.03377615,15.37794086,29.57792539,24.35696012
3022.2,3.88413766,15.10370769,29.40439886,24.39485639
3022.4,3.74229721,14.85605614,29.31571996,24.40247731
3022.6,3.70123529,14.64457331,29.25220726,24.37777165
3022.8,3.78383001,14.4510389,29.08283722,24.33042287
3023.0,3.95212427,14.24644645,28.76692377,24.27459422
3023.2,4.15913741,14.02055402,28.42011516,24.22261516
3023.4,4.36550068,13.81884909,28.20595498,24.18321539
3023.6,4.51727692,13.74740153,28.17548202,24.16141856
3023.8,4.54706105,13.89727392,28.23953841,24.15698651
3024.0,4.43020631,14.2172241,28.28103474,24.16277704
3024.2,4.23260085,14.4723213,28.26523026,24.16775806
3024.4,4.07026115,14.39006579,28.23554431,24.16515119
3024.6,4.0021529,13.89347051,28.23204939,24.15840647
3024.8,3.97625191,13.18371439,28.24644297,24.15757279
3025.0,3.8986226,12.5663841,28.25077179,24.16806408
3025.2,3.75458527,12.19094136,28.24006316,24.1851531
3025.4,3.63540458,11.96947941,28.23527403,24.2021789
3025.6,3.63171263,11.73794004,28.25951984,24.22203084
3025.8,3.71731438,11.45902693,28.33951129,24.25557249
3026.0,3.76534167,11.25527295,28.52313974,24.3064944
3026.2,3.68413881,11.26616992,28.85740432,24.36300547
3026.4,3.5182199,11.50433696,29.31750173,24.4092606
3026.6,3.40575413,11.85208954,29.77737973,24.44199449
3026.8,3.44783519,12.17227108,30.09454782,24.47072949
3027.0,3.62834336,12.40507773,30.23991328,24.50306126
3027.2,3.83834267,12.57626092,30.31445807,24.53727598
3027.4,3.94937533,12.75083687,30.42439013,24.57073551
3027.6,3.88021255,12.98280393,30.56967185,24.60689112
3027.8,3.65860049,13.28110145,30.68543674,24.6477234
3028.0,3.44795035,13.58734047,30.76968046,24.68442195
3028.2,3.46486241,13.78749895,30.91685549,24.70544738
3028.4,3.80058859,13.7864802,31.2173442,24.71445045
3028.6,4.32046196,13.60730556,31.65797036,24.73143321
3028.8,4.78503517,13.4083124,32.13123785,24.77112241
3029.0,5.08615732,13.36587291,32.51265782,24.82508437
3029.2,5.32785422,13.5140235,32.71454571,24.87113477
3029.4,5.65216475,13.70501359,32.71286841,24.89815331
3029.6,6.03288448,13.74288656,32.57006294,24.91537421
3029.8,6.29399265,13.55791696,32.42509734,24.93696164
3030.0,6.3184095,13.25321765,32.40777722,24.96352579
3030.2,6.17831446,12.99355265,32.53748781,24.9829714
3030.4,6.03944363,12.86641938,32.7158949,24.9870661
3030.6,5.97967955,12.84222271,32.82751012,24.98212356
3030.8,5.93601408,12.84470514,32.82804077,24.98287401
3031.0,5.81599851,12.83933698,32.73849183,24.99852623
3031.2,5.63171045,12.84743604,32.58811179,25.02603623
3031.4,5.47852626,12.88148088,32.40406739,25.05520784
3031.6,5.41389739,12.88701523,32.24218346,25.07851338
3031.8,5.39193575,12.77086386,32.17876486,25.0961618
3032.0,5.36851969,12.49925966,32.24834139,25.11466493
